Almost Certainly, Very Good Chance, We Believe, Likely, About Even, Little Chance, Chances Are Slight, Almost No Chance"
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
2010,2010,2011,2012,2012,2012,2013,2014
